新聞標題,日期時間,新聞內容,新聞連結
鼓鼓遭爆出席台中招商群聚感染 真相曝光喊話盧秀燕,2022/04/15 19:06,"「鼓鼓」呂思緯結束自主健康管理就會上工。（資料照，記者胡舜翔攝）
〔記者陽昕翰／台北報導〕「鼓鼓」呂思緯上月不幸染疫，住進了檢疫所隔離一個禮拜，昨天二採陰性終於順利出關，對於今有媒體報導，鼓鼓在9日出席的招商活動疑似爆發群聚感染，其實當天鼓鼓正在檢疫所隔離中，他並沒有出席。
鼓鼓的舞者上月先傳出確診消息，他在3月31日收到舞者確診消息被匡列在家，幾天後就從「陰轉陽」，並在4月7日進檢疫所，昨晚PCR兩次採陰後就返家。
請繼續往下閱讀...
鼓鼓曬照報平安，表示沒事了。（翻攝自IG）
鼓鼓昨晚發聲報平安，曬出自拍表示身體已經沒事了，採檢也是陰性，熱愛工作的他，隔離時依舊心繫下月在高流舉辦的演唱會，甚至帶著吉他進到檢疫所。
至於目前身體狀況如何？鼓鼓的經紀人阿鉍回應沒有大礙，目前已經回家，要進行一個禮拜的自主健康管理。
鼓鼓的經紀人表示，鼓鼓結束自主健康管理就會上工，4月30日會在高雄漢神巨蛋購物廣場舉辦簽票會，5月7日在高雄流行音樂中心的演唱會也會如期舉行。
鼓鼓的唱片公司稍早也透過臉書公開發文，強調：「4月9日還在檢疫所隔離中，並無出席虛擬貨幣招商活動一事，負責照護的醫護人員皆可作證明。大家切勿以訛傳訛。」同時向台中市長盧秀燕喊話，「不用擔心喔！鼓鼓乖乖在檢疫所沒有亂跑，請台中市民不用擔心。」
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ent.ltn.com.tw/news/breakingnews/3894807
為何馬斯克要買下推特？動機可能與美國前總統川普有關,2022/04/15 09:39,"（圖／法新社）
特斯拉、Space X 執行長馬斯克（Elon Musk）宣布出價收購社群平台推特（Twitter）震撼業界，為何要如此大手筆呢？原因可能與美國前總統川普有一定關聯。
馬斯克一直對推特情有獨鍾，熱愛發文且有超過 8000 萬人追蹤，曾多次公開表態對於平台的不滿。昨日披露一封給推特主席的信件中，馬斯克提到他相信推特有成為全球言論自由典範的機會，但需要轉為私人公司，才有機會改變。在最新的 TED 大會受訪時，他進一步強調購買推特和賺錢無關，而是希望打造民主社會中可靠的言論平台。
言論自由是最大主因
過去馬斯克曾堅稱自己是絕對的「言論自由主義者」，多次表態對於推特的管控不滿。例如近年川普多次極端言論，最後遭到各大科技平台封殺，包含推特、臉書都將其帳號限制使用。當時馬斯克就曾出面反對，認為不能讓高科技產業作為現實生活的言論仲裁者。
此外在川普以言論自由向美國法院提出訴訟後，馬斯克也在個人推特上發起「是否認為推特有嚴守言論自由？」的票選活動，吸引超過上百萬名網友投票，且有近七成認為推特沒有滿足言論自由，當時馬斯克就已經暗示，有想要創立新社群平台的念頭。
有趣的是，稍早聽到馬斯克即將收購推特的消息，川普向外媒回應，即便有機會，自己現在也沒有興趣回歸推特，認為推特現在非常無聊，許多好的發言不存在了，多半是較為保守的發言。
與推特恩怨不只一樁
另外，馬斯克在推特上的風波還不僅如此，曾因與英國潛水員 Vernon Unsworth 打筆戰，罵了對方「戀童癖」，後續遭到提告。作為科技產業名人，每一次發文都會撼動市場股價，不只是多次影響虛擬貨幣的行情，亦曾因為對特斯拉發表考慮私有的言論，進而遭到美國證券交易委員會調查，特斯拉甚至被要求需要建立審查機制，確保馬斯克的推文沒有問題。
《你可能還想看》
馬斯克親口證實！收購推特最想改變這 3 大功能
馬斯克玩真的！重金出價 430 億美元要「全面買下」推特
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
馬斯克
川普
言論自由
推特
特斯拉
網路服務
3C 趣聞
產業新聞",https://3c.ltn.com.tw/news/48592
高雄駁二「以拉號奇航」展出百幅畫作 14名插畫家直播理念,2022/04/14 19:53,"「以拉號奇航」展出14名插畫家畫作。（記者黃旭磊攝）
〔記者黃旭磊／高雄報導〕駁二藝術特區發起「以拉號奇航-台灣插畫之全面啟動」特展，展出14名插畫創作者近百幅畫作，會場蓋起直播塔台與粉絲分享創作理念。
「以拉號奇航」由高雄市文化局邀集小路映画工作室黃米露策展，於駁二大義C7動漫倉庫展出3D飛船、怪獸島及龐克族等創作圖騰，展覽主視覺由定居高雄插畫家Croter，描繪奇幻飛船「以拉號」，帶入輕軌及高雄港區海巡船艦等現實場景。
小高潮色計事務所主理人於「以拉號奇航」特展作畫。（記者黃旭磊攝）
市府文化局長王文翠表示，台灣插畫家在世界舞台嶄露頭角，而黃米露深耕本土插畫界10年，集結眾家插畫創作者能量，透過「以拉號奇航」帶領觀眾航向未來、啟動元宇宙。
參與創作者包括高雄在地藝術工作室「人森視覺研究室」Smoky涂皓欽、靈病少女及入圍第32屆金曲獎最佳MV獎導演michun葉依柔，今年剛獲選波隆那Amazing100圖畫書的Croter與角斯角斯，及獲頒第40屆金鼎獎個人插畫獎徐至宏等人。
策展人黃米露表示，圖像創作者勾勒電腦繪圖板，嘗試用3D立體角色延伸動態影像，而區塊鍊、虛擬貨幣市場產出NFT作品，於2021年在藝術市場大放異彩，期待展覽為觀眾帶來驚喜，展期從4月15日起至8月21日於駁二藝術特區大義C7動漫倉庫展出。
☆藝文新聞不漏接，按讚追蹤粉絲頁。
☆更多重要藝文新聞訊息，請上自由藝文網。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://art.ltn.com.tw/article/breakingnews/3893617
技嘉今年新品3箭齊發 全年營運估優於去年,2022/04/12 20:07,"技嘉今天舉辦法說會，提到目前顯卡的通路庫存水位3週至4週，對供應端而言相對健康。（技嘉提供）
〔記者方韋傑／台北報導〕主機板大廠技嘉（2376）今天舉辦法說會，提到目前顯卡的通路庫存水位3週至4週，對供應端而言相對健康，伺服器方面，排除烏俄戰爭因素，到年底還是估能雙位數成長，隨著新平台的推出可望擁有新客戶、新市場，市場需求仍然存在，而從第2季、第3季會開始大量生產新電競筆電。
技嘉去年每股盈餘（EPS） 21.01元。毛利率24.27%，營益率11.88%；產品營收比重分別為主機板25%、顯示卡45%、伺服器20%、其他10%；全球營收比重分別為歐洲35%，美洲25%，亞洲40%，今年因應高效能運算、人工智慧、5G、元宇宙、電競、虛擬貨幣發展，為提升經營效率，區分出消費型應用與商務型應用。
技嘉今年新產品除了先進冷卻伺服器，預計於第3季推出新AMD、INTC的中央處理器，還有採用AMD、NVIDIA方案的多樣化顯卡，新電競筆電搭載NVIDIA GeForce RTX 30系列顯卡，規格包括Intel 12 i9處理器，有4K HDR畫質。
技嘉表示，雖然烏俄戰爭對消費性產品有較大衝擊，但在商用型產品狀況還好，現在已經停止出貨給俄羅斯客戶，在市場需求面並沒有客戶砍單，以3月營收為例，歐洲需求有受到烏俄戰爭影響，加上第2季原本就是傳統淡季，應會延續現在的氛圍，不過，技嘉推估今年上半年營運表現不會遜於去年同期，將小幅成長。
技嘉提到，中國封城主要是筆電相關產品受到衝擊，已經啟動華南其他供應商的備案，對生產影響不大，雖然伺服器生產也有影響，但是至少有1個月的安全庫存，同時有不小的海外部位，以第2季需求來看，預期第3季料況會明顯改善，下半年整體營運樂觀，全年營收能較去年有所成長。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3891099
女股神：加密貨幣、DeFi讓傳統銀行頭很大,2022/04/09 16:22,"伍德表示，加密貨幣、DeFi等產品將威脅到傳統銀行業。（法新社）
〔財經頻道／綜合報導〕方舟投資執行長Cathie Wood接受《CNBC》採訪時表示，加密貨幣將令傳統銀行業非常頭大，因為加密貨幣初期，本就是為了迴避舊金融機構所生。
綜合媒體報導，跟平常使用的紙幣需要防偽設計一樣，加密貨幣的防偽是利用數位貨幣和虛擬貨幣使用密碼學及數字拼湊而成，並與智慧型合約的綁定之下的新型通證。加密貨幣基於去中心化的共識機制，與依賴中心化監管體系的銀行金融系統相對。
Cathie Wood指出，投資人對加密貨幣及去中心化金融（DeFi）的興趣，已開始危及傳統銀行業，如傳統貸款業務正受到DeFi產品的挑戰，技術人才也正流向加密貨幣市場。
另外她也注意到美國財政部長葉倫對加密貨幣的態度轉變，葉倫此前曾對加密貨幣表示擔憂，厭惡其潛在的環境問題和非法活動等缺點，如今已由質疑變為較正面看法。「我記得當時有人問我，我基本上說她（葉倫）沒有研究過該科技，也沒有研究過類似的新資產投資工具。嗯，看起來她的態度一直在轉變。」
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3887721
玩家抵制成功？分析師預測一原因 GPU 顯示卡價格將「大暴跌」,2022/04/09 14:34,"（圖片來源／Nvidia）
由於挖礦熱潮、供應鏈缺貨，電腦的 GPU 顯示卡在過去兩年幾乎一卡難求，且價格極高，讓普通玩家幾乎難以負擔。現在似乎有越來越多跡象顯示，GPU 價格即將回到崩跌，回到正常該有的售價。
Jon Peddie Research 執行長 Jon Peddie 最新報告指出，由於虛擬貨幣挖礦熱潮，在 2019-2020 年之間爆發第一波顯卡漲價潮，根據數據顯示，2019 年平均售價僅約 400 美元多一點，到了 2020 年卻爆衝到 700 美元，漲幅高達 75%，隨後在 2021 年達到接近 800 美元。
顯示卡的價格近乎翻倍，例如 NVIDIA 的 RTX 3090 Ti 官方定價僅 1,999 美元，入手卻得花費 3,820 美元，原價 1499 美元的 RTX 3090 也一度被炒到 3300 美元。這波漲價主要集中於桌電 GPU，筆電反而沒受到影響，說明並非缺貨問題，更多是黃牛炒作價格。
顯卡的平均價格，報告認為挖礦熱潮是比疫情更主要的漲價原因。（圖／翻攝gfxspeak）
主流顯卡被炒價的幅度（圖／翻攝gfxspeak）
Jon Peddie 表示，多數遊戲顯卡的價格早就超過玩家的負擔範圍，使多數人仍舊選擇沿用舊硬體，導致不少開發者對此感到失望。而售價飆漲並沒有讓 GPU 供應商得利，反而是中間販售平台亞馬遜、NewEgg、BestBuy 等網站，主要是因黃牛高價販售，賺到了交易手續費。
Jon Peddie 認為，顯示卡即將隨著玩家拒買、抵制而崩跌，當黃牛與礦工無法脫手轉賣時，價格就會開始暴跌，但速度可能沒有想像中的那麼快。
《你可能還想看》
微軟發出警告！舊版本 Windows 10 下個月就要「停止支援」了
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
顯示卡
GPU
價格
超微半導體
輝達
電腦周邊
產業新聞",https://3c.ltn.com.tw/news/48488
比特幣會議的炫目藝術大展,2022/04/08 22:10,"人們欣賞比特幣 2022 會議的裝置藝術。（法新社）
〔自由藝文網〕在美國邁阿密舉行的2022年比特幣會議，凝聚了虛擬貨幣使用者的眼光，這場從4月6日至9日舉行的大會，有超過三萬人參加，七百萬人觀賞線上直播。由於比特幣的廣泛運用，即使在價值趨低的此刻，仍然是投資者和使用者相當關注的議題。
一位女士正在觀看以比特幣為主題的藝術品。（法新社）
展場中藝術作品。（法新社）
在這場為期四天的會議中，藝術裝置非常炫麗奪目。NFT交易中的藝術品項常有驚人的銷售速度，因此藝術創意成為創作者爭取蒐藏的必要元素，各種創意及設計上的翻新概念不斷刺激藝術品項的呈現。
邁阿密海灘警官 Ernesto Rodriguez 在佛羅里達州的邁阿密海灘會議中心舉行的比特幣 2022 會議期間，在藝術裝置中擺姿勢。（法新社）
這種不斷翻新的創意，也表現在這場會議的藝術裝置上，無論是裝置或藝術元件，都吸引許多參與者的眼光，有的人在裝置藝術上擺出各種姿勢，把自己融入其中；有的人在藝術品前駐足觀看，這都反映出，在虛擬貨幣的交易中，藝術作品是個快速成長和擁有極大巿場潛力的交易品項。
一名男人在裝置藝術前擺弄姿勢。（法新社）
☆藝文新聞不漏接，按讚追蹤粉絲頁。
☆更多重要藝文新聞訊息，請上自由藝文網。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://art.ltn.com.tw/article/breakingnews/3887220
傳Meta正在開發元宇宙虛幣「祖克幣」,2022/04/07 10:15,"臉書母公司Meta傳正在開發名為「祖克幣（Zuck Bucks）」的元宇宙虛擬貨幣。（彭博）
〔財經頻道／綜合報導〕外媒報導，臉書母公司Meta正在開發名為「祖克幣（Zuck Bucks）」的元宇宙虛幣。
綜合媒體報導，有知情人士透露，Meta金融部門 Meta Financial Technologies正尋求開發一種元宇宙虛擬貨幣，且內部員工將該稱虛擬貨幣暱稱為「祖克幣」，與該公司執行長祖克伯 （Mark Zuckerberg） 名字相呼應。
報導指出，「祖克幣」目前還在初步規劃階段，預定用於元宇宙，但據了解「祖克幣」可能不會使用區塊鏈，因為Meta傾向推出的是由公司控制的程式內代幣 （in-app token），讓使用者可以在Instagram（IG） 打賞，或獎勵在臉書社團有重要貢獻的人。
除了「祖克幣」外，報導也指出，Meta也想打造「社交代幣（social tokens）」或「名聲代幣（reputation tokens）」，獎勵對臉書有貢獻者，還有意推出與IG特定網紅連動的「創造者幣（creator coins）」。
對上述報導，Meta回應表示沒有可以更新的事項，僅透露公司目前專注打造元宇宙，支付和金融服務也在範圍內。
Meta股價6日收在223.30美元，跌幅3.68%。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3884827
馬斯克猛砸 765 億成推特「最大股東」！第一個許願功能要實現了,2022/04/06 09:37,"（圖／路透）
特斯拉、Space X 執行長馬斯克（Elon Musk），除了是知名科技公司創辦人，更是社群平台「推特」（Twitter）的著名網紅，屢次報牌撼動股市，被不少網友、媒體笑稱是「馬投顧」，如今現在更成為推特的最大股東。
外媒《彭博社》指出，從 13G 發布的最新文件，直指馬斯克已經握有 9.2% 的推特股份，是當前的最大股東，據悉從一月底開始，幾乎每天都在買推特的股票，今年就砸了 26.4 億美元（約 756.56 億元）。
推特執行長 Parag Agrawal 更親自證實，已經邀請馬斯克成為董事會成員，可以說是從推特網紅，一舉翻身成為重要的核心投資者。
馬斯克的推特帳號擁有超過 8000 萬名粉絲，發文頻率極高，且無論是談到股票、虛擬貨幣，都會帶動市場行情。幾周前，他才剛舉辦投票詢問「推特是否有遵守言論自由的原則？」，並透露有在認真考慮推出自己的社群平台，沒想到私底下卻持續買進推特股票，現在握有推特最多的股份。
在確定成為推特最大股東後，馬斯克的第一則推文，就是個人帳號發起投票，詢問網友是否該加入「編輯功能」。稍早推特官方進一步證實，編輯功能正在開發中，預計在未來率先提供給Twitter Blue 的訂閱用戶。過往推特堅持不加入這項功能，甚至拿來作為愚人節玩笑，看來現在已經改變想法了。
《你可能還想看》
LINE 意外輸了！日本小學生最愛社群媒體 App 換成它
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
社群媒體
馬斯克
特斯拉
Space X
推特
網路服務
3C 趣聞
產業新聞",https://3c.ltn.com.tw/news/48437
又來了！假造《自由時報》網頁 打「蔡宏圖」名號詐騙投資,2022/04/04 21:40,"又有歹徒假造《自由時報》網頁，投放廣告散布假訊息，現在連國泰金控董事長蔡宏圖都受害；本報鄭重澄清，這些內容非本報刊登，內容也屬不實，本報已向警方報案，同時呼籲民眾小心查證消息來源，勿受騙上當。（擷取自網頁，本報合成）
2022/04/04 21:40
〔記者姚岳宏／台北報導〕先前有歹徒多次假造《自由時報》網頁，投放廣告散布假訊息，現在連國泰金控董事長蔡宏圖都受害，詐騙集團利用假網頁新聞，誆稱蔡宏圖是透過「加密貨幣自動交易程式」累積財富；本報鄭重澄清，這些內容非本報刊登，內容也屬不實，本報已向警方報案，同時呼籲民眾小心查證消息來源，勿受騙上當。
這次的假新聞，標題是「專題報告: 蔡宏圖的最新投資讓專家們感到敬畏，也讓大銀行產生恐慌」，內容謊稱，蔡宏圖出現在“臺灣新聞”這個節目上，並公布了一個新的“財富漏洞”，表示這個漏洞能夠 在3-4個月內將任何人變成百萬富翁；內文下方還刊登一些假評論，表示真有其事。
警方表示，上述網頁發佈的假新聞使用簡體字，可簡轉繁，但文字用語不通順，疑是中國詐團所為，民眾閱覽假網頁後，只要點擊鼓吹趕快報名的相關連結，便會出現假冒的投資網站，填寫姓名、電子郵件等個資後，進入投資虛擬貨幣頁面，一旦遭引誘匯款投資，等到想領回獲利時，歹徒即失聯。
去年初開始，就有不法份子仿冒本報網頁傳遞不實報導，虛構名人投資線上交易獲利無數等話術，誘騙民眾投資虛擬貨幣詐財，本報獲悉後自去年開始至上個月，先後陸續多次向刑事局報案，同時透過新聞報導方式，對外嚴正聲明，提醒民眾勿上當，但仍有民眾因此受騙，二月間有名楊姓家庭主婦誤信報導內容，遭誘騙註冊假投資網站詐走萬元美金。
先前也曾出現「郭台銘的最新投資讓銀行恐慌」的一頁式詐騙，偽裝成《自由時報》網站的新聞報導形式，也有詐騙集團假冒自由時報電子報網頁，刊登「陳時中給經濟復蘇提供了一個解決辦法…」等不實言論，誆騙網友投資，針對上述情事本報已向刑事局報案，呼籲民眾小心，勿受害。
☆自由時報電子報提醒您，防詐騙專線︰165，報案專線︰110☆
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3882478
詐團仿本報網頁誘投資 婦人誤信遭詐萬元美金,2022/04/02 17:21,"「假投資詐騙」猖獗，去年初開始就有不法份子仿冒本報網頁傳遞不實報導，虛構名人投資線上交易獲利無數等話術，誘騙民眾投資虛擬貨幣詐財，本報獲悉後自去年開始至上個月，先後陸續多次向刑事局報案。（刑事局提供）
2022/04/02 17:21
本報多次澄清 持續報警處理
〔記者邱俊福／台北報導〕「假投資詐騙」猖獗，去年初開始就有不法份子仿冒本報網頁傳遞不實報導，虛構名人投資線上交易獲利無數等話術，誘騙民眾投資虛擬貨幣詐財，本報獲悉後自去年開始至上個月，先後陸續多次向刑事局報案，同時透過新聞報導方式，對外嚴正聲明，提醒民眾勿上當，但仍有民眾因此受騙，上月初一名楊姓家庭主婦誤信報導內容，遭誘騙註冊假投資網站詐走萬元美金。
刑事局陸續接獲本報報案後追查這些假網頁IP，發現分布在德國、法國與美國等多個國家，僅能透過國際組織或司法互助方式調閱相關資料查察，但為避免有民眾受騙，刑事局追查同時，都立即採取阻斷網頁方式先行處理。
此外，刑事局查察民眾接到的不法分子詐騙電話來源，發現發話端在菲律賓，不排除詐騙話務機房都隱身境外行騙，也增加查緝的困難。
上月初，雲林縣一名年約50歲的楊姓家庭主婦，在家中使用手機時，看到一篇專訪臺灣知名米其林主廚的新聞報導，內容提到其投資加密貨幣的致富秘訣，網頁中還有多位網友留下評論。
楊女便透過網頁連結到自動交易程式的投資網站，留下聯絡電話，不久就收到一通「＋」號開頭的投資專員來電，要求她先註冊帳號，隨後陸續用信用卡刷卡美金1萬元投資。不料3天後，楊女打算申請提領投資款項，才發現根本無法提領，當初看到的專訪，完全是無中生有的假新聞網站，始知受騙。
刑事局提醒，如果看到類似的新聞網頁，可透過分辨網頁的網址，就能看出山寨新聞的網址與官方網址明顯不同，且山寨新聞網頁不管怎麼點選，都只會連進投資網站，非常可疑，另外對「＋」號開頭的來電，更要提高警覺。
☆自由時報電子報提醒您，防詐騙專線︰165，報案專線︰110☆
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3880632
鄧麗君穿越時空走秀超神奇！Claudia Wang扭曲時空變仙境,"2022/04/02 08:00
文／記者王瀅娟","Claudia Wang設計師王子欣（右）邀請虛擬鄧麗君（左）走2022秋冬秀。（品牌提供）

你想像過鄧麗君走秀是什麼樣子嗎？台灣設計師品牌Claudia Wang攜手好萊塢頂級視效公司「數字王國」打造2022秋冬秀，透過科技讓逝世已久的經典歌手鄧麗君穿上品牌秋冬新裝走上伸展台，無論走秀、轉身與擺拍姿勢都氣勢十足，簡直是超級名模 !
Claudia Wang 2022秋冬秀影片集合虛擬鄧麗君（左起）、設計師王子欣與虛擬網紅Eve。（品牌提供）

Claudia Wang設計師王子欣表示，秋冬主題「Fairy Land」以《山海經》為靈感，創造數於台灣意象的奇幻仙境，「是充滿想像與奇幻空間的，什麼都可以發生。」這次大秀的發想是把經典與前衛做連結，所以與鄧麗君文教基金會合作，請經典歌手鄧麗君來「走秀」，搭配金曲獎音樂製作人黃宣現場演唱，做音樂上的對話；大秀影片中還有即將發表的虛擬網紅Eve也來走秀，結合過去現在與未來。王子欣表示，如何把過去經典人物和全新概念結合，是這次服裝秀上要突破的地方。服裝上大量應用歐普格紋帶出復古感，再加以扭曲表現出時空扭曲感，從而創造「空間」，讓過去與現在的人物以及各種奇幻生物並存於印花上，讓觀者隨著流動的線條探索，發現意想不到的細節，彷彿尋寶般的樂趣。
虛擬鄧麗君為Claudia Wang走2022秋冬秀，右為設計師王子欣。（品牌提供）

獲金曲獎最佳單曲製作人的創作歌手黃宣於Claudia Wang 2022秋冬秀上現場演唱。（臺北時裝週提供）

王子欣目前所有服裝，無論是數位或實體，都是以數位先行，她表示這樣做的好處是，一般打版時排印花沒有辦法排大面積的圖案，或是將圖案完整連結，這次可以看到印花從上衣連結到下方的設計，同時可以減少製作過程中布料的浪費，也是永續時尚的一環。
Claudia Wang 2022秋冬系列也有於倫敦時裝週發表，她表示倫敦時尚人士對她的作品接受度還滿高的，得到很多回饋，「比如倫敦的網紅穿搭跟我們不太一樣，讓我發現原來我的衣服可以這樣搭配；一些比較亮的顏色如橘色，也適合他們的膚色，跟亞洲人是真的很不一樣。」
Claudia Wang 2022秋冬秀。（臺北時裝週提供）

延伸閱讀
「夜市香腸」烤進伸展台！#DAMUR愛心鏤空視覺帶入台灣人情味
Tiffany首發品牌虛擬貨幣！能用它買什麼引發好奇

不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://istyle.ltn.com.tw/article/19229
陳庭妮開心不開心都「開車」! 背後原因好暖心,"2022/04/01 20:30
文／記者王瀅娟","陳庭妮於IG大貼開車照。（翻攝自陳庭妮IG）

陳庭妮在社群分享她的開車時尚大片，單手握方向盤前進、後退、看窗外，顯得架式十足，她貼文中透露自己學會開車後發現新世界，現在開心也開車、不開心也開車，而當初學開車的原因是為了要帶著愛犬Chelsea到處玩！
陳庭妮開車架式十足。（翻攝自陳庭妮IG）

陳庭妮表示，養了Chelsea之後，發現要帶著她出門坐計程車，常常會攔不到車，或是想要帶她去的地方太遠，只能作罷跟她說下次我們再一起去，某天受不了了就衝去報名駕訓班順便買了一台車（謎之音：好大手筆），搞笑的是她當時根本沒駕照，交車時還要拜託身邊有駕照的朋友幫她把車開回家（謎之音：朋友是胡宇威嗎？），現在也還是想不透為什麼要這麼衝？
陳庭妮分享生活，秀出Miu Miu軟皮革金屬鍊帶包。（翻攝自陳庭妮IG）

隨著陳庭妮開車照一起曝光的還有Miu Miu新推出的軟皮革金屬鍊帶包，大號鬆垮手袋選用柔軟的皮革縫製。壓印品牌字增添個性，並配備細鍊條肩揹帶，散發高雅流麗的氣息。Miu Miu春夏以低腰炫腹設計為標誌，陳庭妮留到最後一張才貼出來，給看到最後的粉絲意外驚喜！
陳庭妮露腰炫腹展演Miu Miu軟皮革金屬鍊帶包。（翻攝自陳庭妮IG）

延伸閱讀
陳庭妮秀包甜喊「家庭教育很重要」！天心侯佩岑高圓圓幸福人妻都揹同一包
Tiffany首發品牌虛擬貨幣！能用它買什麼引發好奇
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://istyle.ltn.com.tw/article/19230
NFT主管機關為何？ 蘇揆承諾1個月內確定,2022/04/01 17:47,"國民黨立委李貴敏質詢行政院長蘇貞昌。（記者謝君臨翻攝）
〔記者謝君臨／台北報導〕NFT（非同質化代幣）近來引發熱潮。國民黨立委李貴敏今（1）日於立法院院會質詢時，詢問NFT發生在台灣要不要課稅？究竟它的主管機關是誰？對此，財政部長蘇建榮說，NFT作為一種商品，可以課稅。行政院長蘇貞昌則表示，新的東西不能不管，將請相關部會通盤檢討，並承諾1個月內確定主管機關。
立法院院會今續邀請蘇貞昌率部會首長進行施政總質詢。李貴敏質詢時，關心NFT交易相關事宜。她說，NFT在2020年營收5500萬美元，到了2022年第1季而已，交易量高達260億美元；香港藝人陳冠希的NFT，3天內賺了新台幣1.4億元，這若發生在台灣要不要課稅？究竟它的主管機關是誰？
對此，蘇建榮表示，NFT基本上是屬於商品、勞務的部分，它是可以課稅的，平台部分，若它有收取佣金，它商品交易按照營業稅法要課稅。
李貴敏說，NFT沒有主管機關，財政部長說它是商品，金管會主委黃天牧則認為它是藝術品，光各部會對其看法就不同，「我沒有說誰對誰錯」但剛提及閒置資金氾濫，且年輕朋友們對於新興產業很有興趣，不管是NFT或虛擬貨幣，為何年輕人會進去，因為在未來世界是憑藉NFT、虛擬貨幣作為身份認證。
李貴敏指出，有教授說，今天的NFT就像我們那個年代，好似30年前買台積電股票一樣，難道我們可以不去管它？蘇貞昌強調：「新的東西不能不管。」
李貴敏續詢問，若NFT是貨幣或平台，這當然是金管會管轄，但若它是商品的話，應該屬經濟部，那請問NFT的主管機關是哪個單位？蘇貞昌說：「我要請相關部會整個盤，之後盡快告訴我，我不好自己斷定，應該不用很久。」李直接要求：「1個月」蘇也明快回說：「好。」
李貴敏也提及，NFT的詐騙風潮已成為全球第二大詐騙類型，年輕朋友們做NFT交易，平台合不合法影響其權益，這絕對不能不管。
此外，李貴敏說，烏克蘭已接受虛擬貨幣捐款，俄羅斯也接受以虛擬貨幣購買天然氣或石油，若我們沒有一個主管機關，沒有確認合法交易的平台，那她要提出幾個問題，將來虛擬貨幣算不算政治獻金？蘇貞昌說：「現在沒有照這樣。」李則說：「但它有經濟利益，若按照法規定義，它算不算是政治獻金？」
最後，李貴敏表示，她的質詢並非臨場考，盼院長及相關部會回去研究後能夠提出來，她之所以提到這些，這因為覺得真的對年輕朋友不公平，「我們對於下一個世代，有義務創造他們生存且在國際競爭的地位。」
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3879778
